Database,ProductCount,Endpoint,ClientCount,TotalQmph,Qps-1,Qps-2,Qps-3,Qps-4,Qps-5,Qps-6,Qps-7,Qps-8,Qps-9,Qps-10,Qps-11,Qps-12
mssql,100,ontop,1,5286.85,21.36,36.35,9.08,9.46,42.90,,108.04,83.87,207.92,110.37,15.60,22.58
mssql,1000,db,2,99460.32,2681.87,1864.04,4171.92,3516.83,306.18,,336.59,665.02,659.94,559.75,1569.16,2599.38
mysql,1000,ontop,16,7141.09,71.69,52.23,21.87,30.22,41.23,,56.47,78.13,53.15,92.42,25.91,62.35
mysql,10,ontop,32,26847.26,138.87,178.68,72.58,79.02,250.63,,239.49,243.00,264.16,277.67,158.05,188.86
mssql,1000,ontop,2,4896.62,40.23,27.41,18.01,17.33,27.02,,44.98,65.10,46.19,75.35,21.21,41.30
mysql,1000,ontop,1,3318.79,35.88,23.91,5.85,15.66,18.95,,29.75,41.20,29.92,49.47,13.17,30.89
mysql,100,db,8,278157.34,3438.48,2581.91,3590.99,2939.39,571.52,,2122.74,1669.06,2078.43,3077.92,3697.54,3544.55
mysql,100,db,32,328938.31,4733.70,4016.35,4014.90,3319.60,443.17,,2565.03,3440.12,3972.13,3558.90,5456.69,3535.43
mysql,200000,db,16,387.46,55.45,1943.74,55.98,53.70,0.22,,1157.48,3137.61,5048.53,4540.31,5892.54,6841.42
mssql,500000,ontop,1,117.54,2.94,0.43,0.14,1.35,1.02,,1.54,8.48,4.33,2.45,0.54,4.91
mssql,1000,db,16,203035.09,2425.12,1901.48,2296.10,2093.97,650.36,,1064.64,1494.98,1417.69,1439.26,2247.45,2359.22
mssql,10000,db,4,23530.98,1713.73,1972.13,1815.49,1819.09,82.49,,61.15,171.86,144.41,107.85,2460.63,3097.59
mssql,500000,db,16,1140.28,74.29,766.29,75.56,72.25,7.61,,1.76,20.97,51.24,4.97,714.24,708.89
mssql,100000,evi,16,3155.09,150.32,191.11,136.98,71.32,20.15,,7.33,19.41,253.75,14.48,5.72,216.13
none,100000,virtuoso,16,2953.90,78.26,22.90,9.13,40.02,24.56,,7.56,25.18,97.84,29.95,180.05,156.90
mssql,200000,db,2,1275.69,90.18,475.13,91.22,87.67,12.98,,1.99,13.65,17.50,8.47,568.38,598.84
mysql,100,ontop,32,17795.28,97.70,147.96,47.41,51.96,121.28,,175.20,164.11,201.93,171.74,59.44,87.81
mssql,100000,db,4,3067.19,298.34,921.23,295.15,271.44,25.76,,5.68,22.19,22.95,18.32,1059.28,1183.16
mssql,1000,evi,8,31080.12,298.27,154.20,286.76,214.53,224.85,,185.92,234.41,352.04,277.46,239.19,268.39
mysql,100,ontop,1,8289.62,39.16,90.68,14.75,17.21,48.85,,119.25,87.88,227.84,120.98,18.65,31.49
mssql,10,db,2,367801.91,3436.00,1643.22,4984.94,4383.59,1620.65,,3024.74,2715.43,3283.88,4243.70,4560.54,4649.39
mssql,10000,ontop,32,3652.13,32.06,21.03,15.70,18.39,23.96,,30.75,43.79,25.12,44.32,16.14,39.03
none,100,virtuoso,16,40252.38,367.43,222.64,309.11,157.42,324.47,,243.83,302.26,603.72,238.91,532.46,242.95
none,100000,virtuoso,4,727.79,9.19,9.56,6.53,7.02,1.71,,2.12,5.91,248.93,4.23,39.56,235.94
mysql,10,db,16,464932.58,5234.64,2470.79,2685.77,2535.00,2999.56,,3504.63,3727.24,3608.72,4235.01,4598.80,4672.75
none,10,virtuoso,4,45706.10,470.86,217.32,445.70,173.02,485.44,,269.63,350.18,1154.68,245.21,889.49,277.99
mssql,10000,ontop,8,3778.58,34.81,20.54,13.97,17.17,23.19,,30.47,63.70,29.73,59.13,15.00,55.07
mysql,100,db,16,293732.80,3534.27,3088.73,3215.24,3103.87,508.57,,2287.98,2276.89,2418.79,2888.15,4265.67,3884.16
none,1000,virtuoso,2,27479.00,341.70,133.31,282.32,116.26,232.92,,153.24,179.51,933.37,143.66,797.86,177.30
none,100000,virtuoso,2,883.28,8.57,6.18,4.39,10.15,2.36,,3.62,6.46,567.74,5.21,547.86,144.91
mssql,10,ontop,8,20568.32,106.09,90.58,46.74,51.55,349.44,,294.81,296.15,324.85,393.76,112.35,160.56
mssql,500000,evi,16,842.29,36.55,198.15,37.30,20.01,4.59,,2.07,12.99,300.11,2.69,1.16,299.34
mysql,200000,db,8,388.08,54.63,1746.06,57.84,56.44,0.22,,1171.07,2674.12,4778.82,4684.06,6987.68,9435.03
mssql,200000,evi,4,1766.06,97.83,181.00,98.03,53.53,13.16,,3.79,16.25,466.98,9.17,2.47,288.22
mysql,100,db,1,146042.77,2013.05,1328.44,2538.03,2074.22,279.13,,1279.94,805.73,1130.64,1080.40,3421.50,3256.47
mysql,1000,db,8,78520.23,5531.75,4220.89,7366.47,5679.81,49.60,,1730.80,5173.61,8201.85,9252.93,7817.56,12462.77
mysql,10000,db,1,5100.34,402.25,1483.15,447.54,403.06,2.92,,818.13,1478.82,2045.93,2366.59,3505.37,3387.89
mysql,200000,db,4,384.71,52.89,2903.61,58.37,55.41,0.22,,1005.17,2686.49,4273.36,3316.71,6149.05,6320.42
mssql,200000,evi,2,1651.73,76.39,118.77,73.19,41.69,12.87,,3.53,14.69,434.46,7.81,2.61,219.16
mysql,500000,db,2,137.86,18.56,1857.11,21.64,20.70,0.08,,696.39,1775.48,3034.60,2213.81,4947.46,4564.33
mssql,1000,evi,2,24222.37,271.50,122.03,221.64,168.67,160.87,,127.71,181.53,391.23,204.56,160.30,231.48
mssql,10,ontop,2,15246.99,72.43,56.24,29.46,33.55,425.94,,325.61,350.17,680.57,711.37,79.51,126.42
mssql,100,ontop,16,14709.39,75.32,111.43,33.46,37.50,105.05,,188.50,156.47,227.56,173.24,41.45,67.66
none,100000,virtuoso,32,4021.11,51.25,39.65,57.02,116.14,13.75,,13.59,45.40,60.76,16.56,112.59,52.74
mysql,10,db,8,414163.15,4421.84,1964.00,2563.48,2640.04,2906.88,,3252.50,3067.62,3595.42,4070.74,4066.75,4491.27
mysql,10000,ontop,8,1514.43,25.18,14.90,1.39,11.11,9.83,,21.00,30.50,10.25,35.66,5.51,25.21
mssql,500000,evi,2,825.42,36.93,102.59,30.78,14.83,4.90,,1.99,11.53,347.44,3.25,1.05,225.91
mssql,200000,db,8,1980.80,150.99,807.58,148.95,151.03,17.59,,3.27,18.86,23.89,11.35,772.88,764.25
mssql,200000,db,32,1956.32,136.76,648.46,138.27,140.71,15.19,,3.65,14.52,18.47,8.96,563.33,553.77
mssql,200000,evi,16,1751.68,77.22,185.33,81.63,52.53,11.89,,3.99,14.62,143.95,7.01,2.85,148.22
none,10000,virtuoso,32,34901.03,321.25,193.44,245.02,158.69,218.52,,198.63,268.47,422.91,298.40,417.86,299.20
mssql,100000,ontop,4,631.77,11.99,3.82,0.67,5.08,4.49,,5.87,18.00,7.54,14.87,2.58,14.43
mysql,1000,ontop,32,7228.09,63.35,48.83,26.95,32.97,42.73,,53.94,70.43,56.64,78.44,32.93,62.11
mysql,100000,db,16,788.92,115.37,2008.97,128.33,118.27,0.44,,1407.57,3225.72,5821.07,5553.40,4933.58,9882.42
mssql,500000,db,8,1144.59,77.93,792.32,74.06,68.74,9.75,,1.75,21.93,51.95,4.58,887.02,912.86
mysql,100000,db,1,476.38,52.48,1338.26,56.96,54.99,0.27,,450.74,1273.48,2020.34,1434.43,3331.04,2959.93
mysql,200000,db,1,227.17,26.15,1143.35,28.15,26.95,0.13,,170.78,1129.25,1850.82,271.52,2115.94,1663.67
none,200000,virtuoso,4,97.93,0.79,1.13,1.00,0.68,0.23,,0.37,0.48,34.30,0.52,9.62,11.64
mssql,200000,db,4,1903.00,149.98,925.43,152.66,142.54,17.24,,3.14,18.66,21.98,10.83,998.74,976.95
mysql,10,db,1,242105.19,1870.91,1261.08,2588.12,2177.20,1730.56,,1255.68,1752.31,2243.95,2446.98,3242.71,2935.13
mysql,1000,db,1,30506.76,1404.23,1465.38,1802.48,1473.75,31.38,,1311.09,126.94,268.60,143.50,3257.68,3461.31
none,10000,virtuoso,2,26403.84,320.81,134.52,270.54,103.88,205.79,,128.73,168.14,940.65,167.95,793.85,192.57
none,100,virtuoso,1,18676.32,195.53,96.36,166.88,62.56,180.67,,110.41,134.23,573.91,97.88,453.63,86.27
mssql,500000,evi,4,844.84,42.88,156.33,41.80,20.96,5.26,,1.91,12.85,370.03,2.77,1.31,291.31
mssql,100,evi,16,32437.84,303.03,151.93,213.39,169.93,245.40,,223.96,271.40,361.41,304.78,331.59,278.34
none,10000,virtuoso,4,33816.26,401.72,172.94,332.35,128.49,267.96,,165.33,226.91,1098.11,215.41,929.46,249.42
mssql,10,ontop,32,19798.83,111.38,106.24,54.82,60.19,209.67,,198.11,217.24,212.18,227.41,122.99,146.98
mssql,500000,db,2,652.71,39.88,446.92,40.42,41.01,6.77,,0.91,14.28,35.17,4.02,496.51,516.84
mssql,200000,ontop,4,388.21,10.93,1.78,0.38,4.83,3.46,,4.03,14.59,10.37,8.78,1.70,14.44
mssql,1000,db,4,201321.89,3970.56,2556.28,4625.94,4170.80,546.41,,841.64,1460.07,1301.04,1284.88,4717.98,4969.46
none,10000,virtuoso,16,34785.14,352.57,192.09,304.67,153.37,250.29,,189.28,243.35,503.75,234.77,502.93,261.11
mssql,200000,evi,1,1166.18,22.00,70.01,29.38,11.91,7.88,,2.51,10.47,100.12,6.00,2.39,108.09
none,1000,virtuoso,16,36103.12,342.12,194.95,290.28,161.71,269.24,,217.76,261.49,542.28,212.90,479.55,244.82
none,200000,virtuoso,16,180.35,1.46,2.02,1.51,1.53,0.58,,0.74,0.81,3.86,0.95,4.21,3.07
mysql,1000,ontop,8,7336.21,77.21,53.60,17.56,33.19,42.25,,60.98,82.07,57.45,97.38,27.87,65.02
mssql,100,db,4,257506.67,3227.82,1855.14,3124.97,2990.10,985.25,,1245.68,1879.52,1956.63,2273.36,3386.14,3888.28
mssql,100000,db,2,2221.88,175.91,637.00,171.08,179.82,21.36,,3.91,17.40,18.34,14.17,684.46,705.94
mysql,1000,db,32,77973.76,6030.49,5170.92,8481.86,4884.90,48.16,,2163.69,6035.51,10054.89,8121.52,10213.12,13473.43
mssql,100000,db,1,1950.87,53.32,405.87,74.69,77.87,18.66,,3.58,16.68,14.23,12.66,1678.32,383.95
mssql,1000,evi,32,32690.35,255.15,182.39,215.03,190.75,199.34,,205.16,271.76,319.28,296.17,280.77,271.52
mysql,10000,ontop,1,1051.33,27.70,15.49,0.51,12.24,9.26,,24.84,38.02,13.30,45.56,6.00,28.16
mssql,100,db,8,272384.24,2492.91,1927.78,2743.58,2631.33,1283.85,,1420.45,1834.30,2087.58,2316.92,2715.77,2882.75
none,1000,virtuoso,1,16798.54,206.00,83.22,169.46,69.69,143.67,,95.48,109.01,538.32,90.51,455.28,89.17
mysql,10000,ontop,32,1515.95,16.50,11.90,3.40,9.13,9.89,,13.90,16.37,8.90,18.27,5.90,15.17
mysql,100,ontop,8,18442.17,88.84,194.07,38.57,41.94,120.50,,228.38,182.13,305.64,217.49,44.91,73.41
mssql,100,db,1,67637.87,78.47,1213.53,139.64,140.90,470.66,,736.23,1088.43,679.46,1225.48,2709.14,534.67
mssql,1000,ontop,32,6731.84,59.02,42.03,28.04,29.48,40.62,,52.69,69.16,54.02,74.23,30.25,57.54
none,200000,virtuoso,8,5386.09,284.09,151.13,245.47,151.36,34.50,,10.85,47.49,1732.94,14.36,1234.93,313.87
mssql,500000,db,4,1087.71,71.39,938.95,69.32,67.90,9.04,,1.66,20.75,44.45,4.56,1032.67,1080.82
mysql,1000,db,4,80598.52,4498.15,3586.29,4493.54,3437.86,50.86,,2909.15,5583.75,5888.84,7414.29,7176.74,8685.33
mssql,1000,db,32,197079.58,2514.38,1937.99,2206.55,2050.04,616.33,,1030.67,1341.82,1322.59,1545.87,2205.43,2252.27
mssql,10,db,16,442666.21,3685.33,2357.94,3752.12,3511.44,2702.21,,3305.02,3140.17,3485.82,3774.51,3712.17,4324.88
mssql,200000,ontop,8,391.99,9.84,1.73,0.39,4.58,3.76,,3.68,13.97,17.83,8.33,1.99,14.50
mysql,10,db,4,389466.81,3930.96,1912.71,3233.30,3184.96,2735.78,,2964.12,2630.48,3190.74,3421.86,3645.76,3628.27
mssql,100000,evi,8,3175.26,157.30,208.59,175.57,75.71,21.56,,7.10,21.06,403.40,15.86,5.28,289.11
mssql,1000,ontop,4,6548.07,55.29,36.59,24.39,24.31,36.52,,60.21,85.28,60.83,99.12,27.23,54.67
mssql,100,db,16,319170.26,3487.82,2358.04,3081.67,2615.78,1601.17,,1711.20,2049.54,2207.10,2719.58,3022.51,3331.08
mssql,10000,evi,2,11380.59,117.76,145.09,103.80,59.12,43.67,,41.69,77.58,482.48,62.06,35.13,291.03
none,200000,virtuoso,1,116.04,0.68,1.36,1.20,0.84,0.18,,0.61,0.64,303.64,0.98,12.91,12.04
none,1000,virtuoso,8,36819.91,446.28,184.01,370.07,150.81,308.98,,208.78,251.71,989.58,191.51,822.68,231.74
mssql,500000,ontop,2,176.08,5.85,0.64,0.21,2.77,1.54,,2.40,13.40,7.27,3.61,0.74,8.04
mssql,10000,evi,8,14902.18,158.88,205.03,150.30,85.64,63.50,,46.50,118.03,557.85,93.25,45.41,388.21
mysql,10,ontop,8,26838.59,112.69,202.71,51.98,55.36,339.34,,276.28,283.57,353.07,398.41,112.79,174.82
mssql,10000,db,16,27418.88,1655.13,1534.68,1653.73,1425.61,95.46,,72.78,203.70,166.43,136.98,1725.79,1881.57
mssql,10000,evi,1,5120.41,44.82,70.96,43.09,23.41,19.21,,20.15,36.19,102.80,30.06,17.28,109.70
mssql,10000,db,1,8693.92,73.68,466.26,116.76,121.11,29.50,,28.57,59.92,51.86,40.08,2164.34,464.10
none,10,virtuoso,8,46036.50,441.50,231.56,413.50,170.17,474.00,,269.49,379.01,926.56,244.99,787.32,274.85
mssql,10,evi,1,17176.41,79.08,86.63,74.46,44.14,170.34,,136.88,164.07,305.05,225.16,106.62,141.60
mssql,100,ontop,2,11302.54,67.24,58.94,26.02,28.86,83.94,,193.35,147.19,396.61,193.80,31.80,53.20
mysql,500000,db,4,156.96,21.88,2623.45,23.52,22.49,0.09,,1048.19,2782.83,4401.30,3009.08,5995.50,5383.83
mssql,10000,evi,16,15192.18,160.11,172.60,157.82,92.03,62.94,,50.24,119.71,561.60,97.78,49.10,368.54
mssql,10,evi,4,35329.16,413.92,148.65,329.42,236.24,287.39,,228.69,265.21,472.86,356.23,429.13,289.33
mssql,100,ontop,8,15091.11,83.95,95.28,35.22,38.91,109.28,,218.37,171.27,281.23,202.36,43.83,69.64
mssql,10,evi,8,33994.11,389.24,146.42,324.49,246.77,273.17,,215.48,262.08,431.42,333.53,404.26,252.40
none,1000,virtuoso,32,36219.34,317.17,198.72,250.15,170.77,233.04,,214.20,280.69,461.72,281.24,394.38,285.48
mssql,500000,ontop,4,187.34,5.83,0.62,0.24,2.92,1.65,,2.61,15.07,10.28,4.06,1.03,8.80
mssql,200000,evi,32,1742.51,84.87,207.90,87.13,48.42,9.45,,4.22,13.57,220.94,6.62,2.77,241.61
mssql,500000,ontop,16,192.15,5.74,0.58,0.25,2.90,1.97,,2.92,17.40,33.92,4.35,1.61,9.27
mysql,100,ontop,4,17666.02,88.13,176.37,32.77,37.68,113.98,,251.44,182.41,429.48,240.08,40.49,68.52
mysql,10,ontop,1,12547.21,42.10,111.41,17.12,19.14,293.23,,202.55,214.77,372.63,421.80,34.78,54.00
mysql,10000,db,8,8265.11,1709.00,2525.99,1932.99,1490.05,4.68,,1565.17,5167.55,7519.40,7563.40,7924.21,13269.56
mssql,1000,evi,1,10828.80,72.76,80.17,68.53,36.40,70.50,,62.21,91.38,103.11,101.35,49.89,115.32
mssql,10,ontop,16,19843.43,100.46,99.58,51.68,52.90,243.09,,235.14,237.26,244.93,291.06,107.02,148.14
mssql,1000,evi,4,30591.34,339.01,150.51,303.86,225.89,218.49,,163.04,229.77,440.78,254.58,231.23,285.70
mssql,1000,db,1,33498.39,77.54,753.98,123.57,125.04,143.92,,154.93,329.11,274.82,258.30,2645.38,486.40
mssql,100,db,2,195633.38,2141.45,1595.70,3378.21,3214.93,699.23,,811.92,1376.51,1566.31,1841.50,2847.98,2968.99
mysql,10,ontop,16,26402.83,127.91,195.77,62.72,68.07,281.74,,247.93,237.36,273.00,282.09,120.87,179.33
mysql,1000,ontop,4,7287.83,82.26,52.12,13.09,34.70,42.77,,66.71,90.88,61.97,112.56,27.76,69.40
mssql,100,evi,8,33841.83,309.37,163.52,271.80,238.81,261.10,,214.81,259.55,365.65,296.54,337.50,253.05
mssql,200000,ontop,2,357.48,8.64,1.77,0.37,4.54,3.31,,3.24,12.33,6.78,7.47,1.46,12.22
mssql,100000,evi,1,1797.23,23.76,69.62,33.64,12.79,11.36,,4.05,13.53,100.07,10.99,4.48,105.10
mysql,500000,db,16,159.04,22.21,2027.74,23.43,22.15,0.09,,1011.78,2882.83,4535.96,4003.40,6946.85,8598.72
mssql,10000,ontop,2,2255.52,18.59,11.37,6.87,8.79,12.22,,23.84,38.19,21.44,34.95,10.18,33.66
mysql,500000,db,8,157.22,23.55,1795.98,24.58,23.21,0.09,,1043.60,2563.90,5308.93,4327.62,6858.34,10695.21
none,100000,virtuoso,1,2138.35,21.61,27.27,40.62,27.96,4.42,,7.14,13.27,370.01,12.05,308.63,75.09
mssql,100000,evi,4,3139.63,156.28,174.15,163.73,73.83,23.93,,6.76,21.62,497.14,17.22,5.24,305.84
mssql,100000,evi,2,2537.14,49.07,100.49,55.00,23.32,18.02,,5.67,18.01,206.22,13.42,5.68,179.32
mssql,10,db,4,344889.81,3951.94,1420.26,3590.60,3562.87,1970.17,,2842.08,2791.80,3158.69,4207.13,3642.02,4063.77
none,100,virtuoso,8,40157.85,458.37,212.21,362.11,128.74,390.76,,234.23,298.24,1009.15,205.56,874.97,203.10
mysql,200000,db,2,326.51,43.82,2113.76,52.01,49.17,0.18,,638.46,2007.43,3235.18,1581.43,5456.66,4790.57
mysql,10000,db,2,7070.98,728.84,2560.32,822.88,713.53,4.02,,1642.28,2804.61,3721.57,4439.61,5904.04,6352.22
mssql,100,ontop,4,14328.09,85.46,75.46,35.17,37.23,106.63,,230.15,174.36,402.91,233.91,41.30,69.19
mssql,1000,ontop,1,2469.47,15.95,14.86,7.40,7.13,13.46,,24.02,33.02,27.03,38.97,11.22,19.26
none,100000,virtuoso,8,2085.52,22.42,20.70,40.61,143.29,8.72,,5.53,15.70,2182.77,7.63,73.15,460.96
mysql,10000,db,4,8286.43,1049.82,3440.98,1087.15,951.73,4.69,,2480.93,4089.31,5427.02,6499.65,9569.55,6877.24
none,10000,virtuoso,8,34757.23,449.79,179.60,363.61,131.84,270.80,,167.25,236.59,1021.40,220.68,965.03,260.48
mssql,500000,evi,8,842.97,40.41,180.00,39.41,20.34,4.94,,2.09,12.57,188.04,2.69,1.13,304.70
mysql,100000,db,8,789.25,114.11,1713.42,125.58,118.40,0.44,,1186.49,2989.16,5581.37,5143.73,4377.80,9047.77
mssql,500000,db,32,1115.90,75.08,755.81,76.59,68.07,6.08,,1.75,19.72,48.35,5.29,720.34,724.47
mssql,10,db,8,423861.79,4047.38,2203.32,3801.27,3443.14,2507.20,,3054.60,2939.94,3488.53,3763.89,3905.66,4030.92
mssql,500000,evi,32,835.59,39.13,146.71,42.74,20.32,4.33,,2.12,11.90,348.04,2.69,1.12,321.96
mysql,10000,ontop,16,1508.54,21.27,13.46,2.17,9.30,9.70,,16.71,24.42,8.36,29.68,4.91,20.50
mssql,100000,db,16,3255.48,320.62,753.75,320.77,299.51,25.43,,6.11,21.59,26.51,18.44,756.38,730.07
mysql,1000,ontop,2,5679.24,63.32,40.49,10.20,26.94,32.75,,51.95,73.58,47.65,89.33,22.32,54.45
mssql,100000,ontop,32,621.23,7.39,3.70,0.79,3.63,5.12,,5.29,10.59,6.84,9.64,3.81,9.58
mssql,500000,ontop,32,190.92,3.13,0.67,0.31,1.73,1.66,,2.21,4.86,5.56,2.92,1.69,3.77
mssql,10,db,1,95834.96,80.90,1322.73,155.89,154.12,1154.81,,2335.57,2373.48,2564.38,3433.26,3378.12,962.10
mysql,10000,ontop,4,1542.75,33.73,18.61,0.91,14.76,10.98,,31.29,46.68,15.59,57.33,7.00,36.74
mssql,1000,ontop,16,6739.38,64.16,43.91,25.49,26.89,37.93,,55.65,77.72,52.78,87.63,25.47,57.78
